province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active
Hong Kong,Hong Kong,2020-01-22,,,,,,,
Taiwan,Taiwan,2020-01-22,,,,1,,,
,Japan,2020-01-22,,,,2,,,
Hong Kong,Hong Kong,2020-01-23,,,,2,,,
Taiwan,Taiwan,2020-01-23,,,,1,,,
,Japan,2020-01-23,,,,1,,,
Taiwan,Taiwan,2020-01-24,,,,3,,,
Hong Kong,Hong Kong,2020-01-24,,,,2,,,
,Japan,2020-01-24,,,,2,,,
Hong Kong,Hong Kong,2020-01-25,,,,5,,,
Taiwan,Taiwan,2020-01-25,,,,3,,,
,Japan,2020-01-25,,,,2,,,
Hong Kong,Hong Kong,2020-01-26,,,,8,,,
Taiwan,Taiwan,2020-01-26,,,,4,,,
,Japan,2020-01-26,,,,4,,1,
Hong Kong,Hong Kong,2020-01-27,,,,8,,,
Taiwan,Taiwan,2020-01-27,,,,5,,,
,Japan,2020-01-27,,,,4,,1,
Taiwan,Taiwan,2020-01-28,,,,8,,,
Hong Kong,Hong Kong,2020-01-28,,,,8,,,
,Japan,2020-01-28,,,,7,,1,
Hong Kong,Hong Kong,2020-01-29,,,,10,,,
Taiwan,Taiwan,2020-01-29,,,,8,,,
,Japan,2020-01-29,,,,7,,1,
Hong Kong,Hong Kong,2020-01-30,,,,10,,,
Taiwan,Taiwan,2020-01-30,,,,9,,,
,Japan,2020-01-30,,,,11,,1,
Hong Kong,Hong Kong,2020-01-31,,,,12,,,
Taiwan,Taiwan,2020-01-31,,,,10,,,
,Japan,2020-01-31,,,,15,,1,
,Japan,2020-02-01,,,,20,0,1,
Hong Kong,Hong Kong,2020-02-01,,,,13,0,0,
Taiwan,Taiwan,2020-02-01,,,,10,0,0,
,Japan,2020-02-02,,,,20,0,1,
Hong Kong,Hong Kong,2020-02-02,,,,15,0,0,
Taiwan,Taiwan,2020-02-02,,,,10,0,0,
,Japan,2020-02-03,,,,20,0,1,
Hong Kong,Hong Kong,2020-02-03,,,,15,0,0,
Taiwan,Taiwan,2020-02-03,,,,10,0,0,
,Japan,2020-02-04,,,,22,0,1,
Hong Kong,Hong Kong,2020-02-04,,,,17,1,0,
Taiwan,Taiwan,2020-02-04,,,,11,0,0,
,Japan,2020-02-05,,,,22,0,1,
Hong Kong,Hong Kong,2020-02-05,,,,21,1,0,
Taiwan,Taiwan,2020-02-05,,,,11,0,0,
,Japan,2020-02-06,,,,45,0,1,
Hong Kong,Hong Kong,2020-02-06,,,,24,1,0,
Taiwan,Taiwan,2020-02-06,,,,16,0,1,
Hong Kong,Hong Kong,2020-02-07,,,,25,1,0,
,Japan,2020-02-07,,,,25,0,1,
Taiwan,Taiwan,2020-02-07,,,,16,0,1,
Hong Kong,Hong Kong,2020-02-08,,,,26,1,0,
,Japan,2020-02-08,,,,25,0,1,
Taiwan,Taiwan,2020-02-08,,,,17,0,1,
Hong Kong,Hong Kong,2020-02-09,,,,29,1,0,
,Japan,2020-02-09,,,,26,0,1,
Taiwan,Taiwan,2020-02-09,,,,18,0,1,
Hong Kong,Hong Kong,2020-02-10,,,,38,1,0,
,Japan,2020-02-10,,,,26,0,4,
Taiwan,Taiwan,2020-02-10,,,,18,0,1,
Hong Kong,Hong Kong,2020-02-11,,,,49,1,0,
,Japan,2020-02-11,,,,26,0,9,
Taiwan,Taiwan,2020-02-11,,,,18,0,1,
Hong Kong,Hong Kong,2020-02-12,,,,50,1,1,
,Japan,2020-02-12,,,,28,0,9,
Taiwan,Taiwan,2020-02-12,,,,18,0,1,
Hong Kong,Hong Kong,2020-02-13,,,,53,1,1,
,Japan,2020-02-13,,,,28,1,9,
Taiwan,Taiwan,2020-02-13,,,,18,0,1,
Hong Kong,Hong Kong,2020-02-14,,,,56,1,1,
,Japan,2020-02-14,,,,29,1,9,
Taiwan,Taiwan,2020-02-14,,,,18,0,2,
Hong Kong,Hong Kong,2020-02-15,,,,56,1,1,
,Japan,2020-02-15,,,,43,1,12,
Taiwan,Taiwan,2020-02-15,,,,18,0,2,
,Japan,2020-02-16,,,,59,1,12,
Hong Kong,Hong Kong,2020-02-16,,,,57,1,2,
Taiwan,Taiwan,2020-02-16,,,,20,1,2,
,Japan,2020-02-17,,,,66,1,12,
Hong Kong,Hong Kong,2020-02-17,,,,60,1,2,
Taiwan,Taiwan,2020-02-17,,,,22,1,2,
,Japan,2020-02-18,,,,74,1,13,
